epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,437.069,0.66732,0.60834,0.48598,0.90677,0,0.99267,0.99233,0.99219,0.85583,0.99267,0.99233,0.99219,0.87114,0.5327,0.49475,0.40285,0.85828,0,0.0009308,0.0009308,0.0009308
29,452.855,0.65166,0.60785,0.47608,0.87629,0,0.98423,0.99817,0.99364,0.87194,0.98423,0.99817,0.99364,0.87384,0.53613,0.48329,0.39168,0.85397,0,0.0008912,0.0008912,0.0008912
30,468.399,0.65672,0.59532,0.47012,0.88395,0,0.99396,0.99451,0.99359,0.87973,0.99396,0.99451,0.99359,0.87071,0.52024,0.45925,0.40033,0.85345,0,0.0008516,0.0008516,0.0008516
31,483.95,0.60939,0.55377,0.48296,0.86981,0,0.99435,0.99817,0.99318,0.88389,0.99435,0.99817,0.99318,0.85995,0.49105,0.45486,0.3848,0.84487,0,0.000812,0.000812,0.000812
32,499.287,0.62351,0.56247,0.46477,0.88318,0,0.98551,0.99631,0.99285,0.88226,0.98551,0.99631,0.99285,0.87884,0.48906,0.46192,0.38064,0.84862,0,0.0007724,0.0007724,0.0007724
33,514.536,0.59479,0.58818,0.44796,0.87281,0,0.99135,0.99817,0.99297,0.87661,0.99135,0.99817,0.99297,0.89094,0.49779,0.44296,0.37418,0.84219,0,0.0007328,0.0007328,0.0007328
34,529.571,0.61209,0.61155,0.4529,0.88806,0,0.99552,0.99817,0.99478,0.89904,0.99552,0.99817,0.99478,0.88629,0.46836,0.45316,0.36425,0.84063,0,0.0006932,0.0006932,0.0006932
35,544.375,0.58054,0.60466,0.43502,0.87274,0,0.99787,0.99817,0.99496,0.89235,0.99787,0.99817,0.99496,0.8721,0.47361,0.44049,0.35809,0.83987,0,0.0006536,0.0006536,0.0006536
36,559.39,0.59302,0.55727,0.44733,0.87576,0,0.99524,0.99817,0.99482,0.90154,0.99524,0.99817,0.99482,0.88557,0.45766,0.43583,0.34766,0.8363,0,0.000614,0.000614,0.000614
37,574.448,0.6049,0.57516,0.4497,0.89052,0,0.99001,0.99817,0.99371,0.89586,0.99001,0.99817,0.99371,0.88613,0.46825,0.44611,0.34034,0.83666,0,0.0005744,0.0005744,0.0005744
38,589.616,0.557,0.53939,0.4007,0.87322,0,0.99615,0.99817,0.99498,0.9115,0.99615,0.99817,0.99498,0.88193,0.42887,0.43519,0.33047,0.82739,0,0.0005348,0.0005348,0.0005348
39,604.356,0.56621,0.54747,0.41115,0.86838,0,0.99809,0.99817,0.995,0.89958,0.99809,0.99817,0.995,0.88262,0.45731,0.42916,0.34351,0.8335,0,0.0004952,0.0004952,0.0004952
40,619.108,0.56835,0.5289,0.40975,0.87038,0,0.99804,0.99817,0.995,0.91039,0.99804,0.99817,0.995,0.88434,0.43082,0.43007,0.3324,0.82888,0,0.0004556,0.0004556,0.0004556
41,634.767,0.51994,0.48516,0.39839,0.8449,0,0.99634,0.99806,0.995,0.92011,0.99634,0.99806,0.995,0.88494,0.40679,0.43363,0.32332,0.82065,0,0.000416,0.000416,0.000416
42,649.407,0.4721,0.47476,0.35411,0.83095,0,0.99919,0.99451,0.995,0.91535,0.99919,0.99451,0.995,0.88095,0.40808,0.43423,0.31928,0.81916,0,0.0003764,0.0003764,0.0003764
43,665.039,0.48036,0.47091,0.36855,0.83158,0,1,0.99773,0.995,0.91139,1,0.99773,0.995,0.8867,0.41458,0.4262,0.32069,0.81551,0,0.0003368,0.0003368,0.0003368
44,679.988,0.48077,0.47531,0.36211,0.82586,0,1,0.99794,0.995,0.92194,1,0.99794,0.995,0.89183,0.39578,0.41982,0.30713,0.81353,0,0.0002972,0.0002972,0.0002972
45,694.929,0.46896,0.47495,0.35081,0.8307,0,1,0.99796,0.995,0.91709,1,0.99796,0.995,0.89228,0.39702,0.4188,0.30793,0.81617,0,0.0002576,0.0002576,0.0002576
46,710.133,0.45103,0.4682,0.33599,0.82607,0,1,0.99795,0.995,0.92335,1,0.99795,0.995,0.88406,0.38454,0.41511,0.29987,0.81125,0,0.000218,0.000218,0.000218
47,725.337,0.45988,0.46791,0.34574,0.8065,0,0.99978,0.99817,0.995,0.92928,0.99978,0.99817,0.995,0.90149,0.37804,0.40758,0.29314,0.80904,0,0.0001784,0.0001784,0.0001784
48,740.417,0.42465,0.4364,0.32404,0.81156,0,0.99978,0.99817,0.995,0.927,0.99978,0.99817,0.995,0.8852,0.37083,0.41179,0.28989,0.81055,0,0.0001388,0.0001388,0.0001388
49,755.357,0.42592,0.44914,0.32273,0.81386,0,0.99976,0.99817,0.995,0.93291,0.99976,0.99817,0.995,0.8953,0.36098,0.40546,0.28307,0.80687,0,9.92e-05,9.92e-05,9.92e-05
50,770.242,0.41949,0.44398,0.31651,0.81829,0,0.99995,0.99817,0.995,0.9357,0.99995,0.99817,0.995,0.8972,0.3534,0.40072,0.27601,0.80542,0,5.96e-05,5.96e-05,5.96e-05
